time,close,open,volume,signal,beta,kappa,xi,ret,ret_etf
2021-10-12 05:00:00,53.63,53.6,11479.494,-6.516130259638762,0.7916264414366861,14.309499421041638,6.0915276371266064e-05,0.0007464079119239297,0.007776821012736246
2021-10-12 06:00:00,53.44,53.7,10277.568,-6.682217406168661,0.775497031866982,14.564080670071823,6.096924210741682e-05,-0.0035427932127541917,-0.0035100623063049063
2021-10-12 07:00:00,53.1,53.44,3259.336,-5.96316615092903,0.7692014205067702,11.00446862955821,5.678709474698184e-05,-0.006362275449101729,0.002259224569962859
2021-10-12 08:00:00,53.04,53.08,4746.283,-4.776339292489221,0.7604446177537562,9.24100803517853,5.6380291459032675e-05,-0.001129943502824915,0.0019512912921184622
2021-10-12 09:00:00,51.58,53.0,12966.175,-4.75757044955166,0.7577967257007284,10.98276794880678,5.419808500943005e-05,-0.02752639517345401,-0.008955988474443677
2021-10-12 10:00:00,52.12,51.56,12802.039,-6.002378863562904,0.8606977402556214,10.337072988882923,5.567537620762403e-05,0.010469174098487688,0.004263607268446767
2021-10-12 11:00:00,52.86,52.1,10760.477,-5.772241549536681,0.880936018353741,11.216819097921434,5.6243553655108254e-05,0.014198004604758285,0.001063168578044893
2021-10-12 12:00:00,51.9,52.92,15377.529,-5.092199670430243,0.8844785525077772,13.120442406514025,5.813867805001041e-05,-0.018161180476730987,-0.00631966741276635
2021-10-12 13:00:00,53.74,51.85,12337.621,-5.555869555042112,0.9263260913050656,13.31706143889938,5.8163151590224984e-05,0.03545279383429678,0.0008246638466631317
2021-10-12 14:00:00,53.55,53.65,18571.331,-4.417410820143474,0.9337702352521309,21.000703579115452,6.644974112342617e-05,-0.003535541496092365,-0.009532894659432967
2021-10-12 15:00:00,54.42,53.55,13401.912,-4.593320098375654,0.8889237096119499,20.41196413124119,6.724506216777189e-05,0.01624649859943994,-0.0018218085106382897
2021-10-12 16:00:00,54.66,54.45,14809.08,-3.1337069248633393,0.8629646480626574,18.41865612852832,6.980213038296398e-05,0.004410143329658167,-0.0073417440461123196
2021-10-12 17:00:00,53.36,54.7,9500.649,-2.7616434988285348,0.806573791710208,14.007541424134292,7.233514627196607e-05,-0.023783388218075352,0.0003365905010617176
2021-10-12 18:00:00,54.32,53.37,10390.838,-4.367754737548871,0.8024759853285792,24.973388281819876,7.292337356591252e-05,0.01799100449775115,-0.006260337149842754
2021-10-12 19:00:00,53.6,54.23,9776.797,-2.0000703420856114,0.7054243867592266,14.226841441198294,8.018279126731145e-05,-0.013254786450662692,-0.004392220225922117
